image_name,angular_z,linear_x
image_2024-04-08_17:08:33_830710.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:33_897941.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:33_964411.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_029345.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_097496.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_163641.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_229984.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_295532.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:34_365269.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:34_432458.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_496420.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_562080.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_630306.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_698672.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_761839.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_829474.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_899281.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:34_962222.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_030817.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_096390.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_161668.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_230064.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_297833.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_362691.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_432012.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_498169.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_562506.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_631026.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_698102.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_763627.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_830640.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_896701.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:35_965086.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_030172.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_097578.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_160607.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_230336.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_296815.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_365221.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_433509.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_496507.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_565000.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_632410.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_698349.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_764253.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_830852.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_896994.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:36_965396.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:37_031259.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:37_099549.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:37_164635.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:37_230605.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:37_297027.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:37_366203.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:37_433821.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_496490.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_565382.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_632484.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_699076.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_763627.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_831629.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_897417.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:37_963690.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:38_032281.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:38_096562.jpeg,1.0,0.2657205000000001
image_2024-04-08_17:08:38_165873.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_233357.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_298076.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_363826.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_431925.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_498410.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_564069.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_631420.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_700165.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_763870.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_833790.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_899984.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:38_963892.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_032006.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_100075.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_163633.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_234052.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_298231.jpeg,-1.0,0.2657205000000001
image_2024-04-08_17:08:39_363738.jpeg,-1.0,0.2657205000000001
image_2024-04-08_17:08:39_433413.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_500332.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_565665.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_634193.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_699696.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_764468.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_832529.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_898941.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:39_965882.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_032640.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_097951.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_163859.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_232639.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_299118.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_364900.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_432959.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_498257.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_566297.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_632723.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_700583.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_766251.jpeg,0.0,0.2657205000000001
image_2024-04-08_17:08:40_834549.jpeg,0.0,0.2657205000000001
